Assembly accession	Name	NCBI taxonomy	GTDB taxonomy (r214)	External link 1	External link 2	Biosample accession	Bioproject accession	WGS accession	Sequencing platform	Submission date	Submitter	Title	PMID	DOI	Publish_date	Author	Geographic location	Environment	Geographic coordinates	point	Latitude	longitude	Completeness	Contamination	quality	# contigs	Largest contig	Total length	GC (%)	N50	N50	Assembly level
GCA_015233375.1	Candidatus_Omnitrophica_bacterium_nDJH2bin13	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Fredricksoniimonadaceae;<br>g__JABDGZ01;<br>s__JABDGZ01 sp015233375	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233375.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233375.1"">GTDB</a>"	SAMN15005512	PRJNA400260	JADFXW000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.49194 N 109.99472 E	(31.5415029, 110.016347, 0.0)	31.5415029	110.016347	70.95	0.0	Medium	209	47316	1763723	42.08	11646	10188	Scaffold
GCA_015233395.1	Desulfovibrionaceae_bacterium_nDJH2bin10	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfovibrionales;<br>f__Desulfovibrionaceae;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfovibrionia;<br>o__Desulfovibrionales;<br>f__Desulfovibrionaceae;<br>g__JADFXV01;<br>s__JADFXV01 sp015233395	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233395.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233395.1"">GTDB</a>"	SAMN15005480	PRJNA400260	JADFXV000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.49194 N 109.99472 E	(31.5415029, 110.016347, 0.0)	31.5415029	110.016347	97.32	0.0	High	158	125371	3372092	62.81	36054	36054	Scaffold
GCA_015233405.1	Candidatus_Omnitrophica_bacterium_nDJH15bin6	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Zapsychraceae;<br>g__JADFXT01;<br>s__JADFXT01 sp015233405	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233405.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233405.1"">GTDB</a>"	SAMN15005523	PRJNA400260	JADFXT000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.485181 N 110.001483 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	79.69	2.15	Medium	47	304738	2379669	43.25	130162	130162	Scaffold
GCA_015233455.1	Nitrospirota_bacterium_nDJH15bin2	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetobacterium;<br>s__Magnetobacterium sp015233725	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233455.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233455.1"">GTDB</a>"	SAMN15005502	PRJNA400260	JADFXR000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.485181 N 110.001483 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	92.02	0.91	High	245	111317	3580043	49.18	21641	20096	Scaffold
GCA_015233465.1	Nitrospirota_bacterium_nDJH14bin9	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__JADFXP01;<br>s__JADFXP01 sp015233465	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233465.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233465.1"">GTDB</a>"	SAMN15005490	PRJNA400260	JADFXP000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483503 N 110.000844 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	95.95	0.91	High	75	256720	3130381	35.21	93402	88729	Scaffold
GCA_015233485.1	Nitrospirota_bacterium_nDJH14bin7	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetominusculus;<br>s__Magnetominusculus sp015233485	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233485.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233485.1"">GTDB</a>"	SAMN15005495	PRJNA400260	JADFXO000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483503 N 110.000844 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	85.56	0.45	Medium	565	37924	4238609	44.94	10032	9449	Scaffold
GCA_015233495.1	Candidatus_Omnitrophica_bacterium_nDJH15bin13	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Zapsychraceae;<br>g__JADFXQ01;<br>s__JADFXQ01 sp015233495	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233495.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233495.1"">GTDB</a>"	SAMN15005522	PRJNA400260	JADFXQ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.485181 N 110.001483 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	83.33	1.08	Medium	111	187318	2101230	49.08	34545	30714	Scaffold
GCA_015233515.1	Deltaproteobacteria_bacterium_nDJH15bin4	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfarculia;<br>o__Adiutricales;<br>f__JAGVGV01;<br>g__JADFXS01;<br>s__JADFXS01 sp015233515	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233515.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233515.1"">GTDB</a>"	SAMN15005454	PRJNA400260	JADFXS000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.485181 N 110.001483 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	60.62	0.32	Medium	701	64630	4200208	51.2	7756	5625	Scaffold
GCA_015233555.1	Nitrospirota_bacterium_nDJH14bin5	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__JADFXG01;<br>s__JADFXG01 sp015233895	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233555.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233555.1"">GTDB</a>"	SAMN15005489	PRJNA400260	JADFXN000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483503 N 110.000844 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	95.85	0.91	High	69	359807	3591102	41.5	83655	83655	Scaffold
GCA_015233565.1	Candidatus_Riflebacteria_bacterium_nDJH14bin3	d__Bacteria;<br>p__Candidatus Riflebacteria;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Riflebacteria;<br>c__Ozemobacteria;<br>o__Ozemobacterales;<br>f__Ozemobacteraceae;<br>g__JADFXM01;<br>s__JADFXM01 sp015233565	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233565.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233565.1"">GTDB</a>"	SAMN15005607	PRJNA400260	JADFXM000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483503 N 110.000844 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	96.0	1.33	High	185	380595	8297085	40.61	109594	109594	Scaffold
GCA_015233585.1	Alphaproteobacteria_bacterium_nDJH14bin10	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__JADFXL01;<br>s__JADFXL01 sp015233585	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233585.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233585.1"">GTDB</a>"	SAMN15005536	PRJNA400260	JADFXL000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483503 N 110.000844 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	73.86	1.33	Medium	435	52301	3326350	60.2	11257	10004	Scaffold
GCA_015233615.1	Nitrospirota_bacterium_nDJH13bin3	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__JADFXJ01;<br>s__JADFXJ01 sp015233615	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233615.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233615.1"">GTDB</a>"	SAMN15005488	PRJNA400260	JADFXJ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	77.94	1.82	Medium	220	106824	4006792	47.81	25191	23873	Scaffold
GCA_015233625.1	Deltaproteobacteria_bacterium_nDJH13bin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__JADFXK01;<br>o__JADFXK01;<br>f__JADFXK01;<br>g__JADFXK01;<br>s__JADFXK01 sp015233625	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233625.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233625.1"">GTDB</a>"	SAMN15005459	PRJNA400260	JADFXK000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	56.21	0.0	Medium	619	51923	4587119	51.85	9499	8801	Scaffold
GCA_015233655.1	Nitrospirota_bacterium_nDJH13bin21	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Dissulfurispiraceae;<br>g__JADFXI01;<br>s__JADFXI01 sp015233655	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233655.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233655.1"">GTDB</a>"	SAMN15005507	PRJNA400260	JADFXI000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	85.99	2.25	Medium	262	98345	3287085	47.98	20424	18976	Scaffold
GCA_015233675.1	Candidatus_Omnitrophica_bacterium_nDJH13bin20	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Fredricksoniimonadaceae;<br>g__JABDGZ01;<br>s__JABDGZ01 sp015233675	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233675.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233675.1"">GTDB</a>"	SAMN15005511	PRJNA400260	JADFXH000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	60.34	0.0	Medium	31	321724	2119943	42.8	179029	179029	Scaffold
GCA_015233685.1	Nitrospirota_bacterium_nDJH13bin15	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetominusculus;<br>s__Magnetominusculus sp015233685	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233685.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233685.1"">GTDB</a>"	SAMN15005494	PRJNA400260	JADFXF000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	66.54	0.0	Medium	121	58913	2034618	48.07	27741	24800	Scaffold
GCA_015233705.1	Candidatus_Omnitrophica_bacterium_nDJH13bin13	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Fredricksoniimonadaceae;<br>g__JAAYZZ01;<br>s__JAAYZZ01 sp015233705	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233705.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233705.1"">GTDB</a>"	SAMN15005517	PRJNA400260	JADFXE000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	54.51	0.0	Medium	97	48009	1173747	54.15	15478	11167	Scaffold
GCA_015233725.1	Nitrospirota_bacterium_nDJH13bin1	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetobacterium;<br>s__Magnetobacterium sp015233725	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233725.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233725.1"">GTDB</a>"	SAMN15005501	PRJNA400260	JADFXD000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	85.91	0.45	Medium	168	88709	3320021	49.07	29980	28984	Scaffold
GCA_015233755.1	Desulfamplus_sp._nDH2bin3	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__Desulfobacteraceae;<br>g__Desulfamplus;<br>s__Desulfamplus sp015233755	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233755.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233755.1"">GTDB</a>"	SAMN15005468	PRJNA400260	JADFXA000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Lake East	freshwater	30.555833 N 114.411389 E	(30.552824, 114.4096587, 0.0)	30.552824	114.4096587	75.5	1.29	Medium	407	39022	2540888	35.65	7726	7162	Scaffold
GCA_015233765.1	Candidatus_Omnitrophica_bacterium_nCal1bin2	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Fredricksoniimonadaceae;<br>g__GCA-2753745;<br>s__GCA-2753745 sp002753745	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233765.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233765.1"">GTDB</a>"	SAMN15005521	PRJNA400260	JADFWR000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Lake Catani	freshwater	36.73426 S 146.81119 E	(-36.735271, 146.8112389, 0.0)	-36.735271	146.8112389	88.29	2.15	Medium	196	108977	2952830	49.66	25022	19117	Scaffold
GCA_015233785.1	Magnetococcales_bacterium_nCLbin10	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__JADFWT01;<br>g__JADFWT01;<br>s__JADFWT01 sp015233785	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233785.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233785.1"">GTDB</a>"	SAMN15005552	PRJNA400260	JADFWT000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	Australia: Corunna Lake	freshwater	38.23694 S 144.42936 E	(-38.2382179, 144.4285999, 0.0)	-38.2382179	144.4285999	61.19	2.1	Medium	364	93268	3357974	55.62	18428	18428	Contig
GCA_015233895.1	Nitrospirota_bacterium_nDJH13bin19	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__JADFXG01;<br>s__JADFXG01 sp015233895	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233895.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233895.1"">GTDB</a>"	SAMN15005487	PRJNA400260	JADFXG000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Dajiu Lake	Acidic Peatland	31.483672 N 110.000694 E	(31.4745221, 110.0105023, 0.0)	31.4745221	110.0105023	99.03	0.91	High	65	477006	3711429	41.57	125510	124990	Scaffold
GCA_015233905.1	Magnetococcales_bacterium_nDH2bin7	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__JAANAU01;<br>s__JAANAU01 sp011089965	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233905.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233905.1"">GTDB</a>"	SAMN15005591	PRJNA400260	JADFXC000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Lake East	freshwater	30.555833 N 114.411389 E	(30.552824, 114.4096587, 0.0)	30.552824	114.4096587	54.48	0.0	Medium	74	184375	1952691	56.31	45589	45589	Scaffold
GCA_015233935.1	Magnetococcales_bacterium_nDH2bin6	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__JADFXB01;<br>g__JADFXB01;<br>s__JADFXB01 sp015233935	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233935.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233935.1"">GTDB</a>"	SAMN15005554	PRJNA400260	JADFXB000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Lake East	freshwater	30.555833 N 114.411389 E	(30.552824, 114.4096587, 0.0)	30.552824	114.4096587	80.77	2.1	Medium	414	83996	4543171	52.7	21120	19502	Scaffold
GCA_015233945.1	Magnetococcales_bacterium_nDC0425bin2	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__HCHbin5;<br>s__HCHbin5 sp002753505	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233945.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233945.1"">GTDB</a>"	SAMN15005588	PRJNA400260	JADFWY000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Lake Dianchi	freshwater	24.908133 N 102.74605 E	(24.9033068, 102.7596249, 0.0)	24.9033068	102.7596249	71.32	1.79	Medium	364	59974	3037792	55.86	10610	10610	Scaffold
GCA_015233965.1	Magnetococcales_bacterium_nDC0425bin4	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__DC0425bin3;<br>g__DC0425bin3;<br>s__DC0425bin3 sp002753665	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015233965.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015233965.1"">GTDB</a>"	SAMN15005560	PRJNA400260	JADFWZ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Lake Dianchi	freshwater	24.908133 N 102.74605 E	(24.9033068, 102.7596249, 0.0)	24.9033068	102.7596249	98.32	1.68	High	165	135657	3892739	65.39	49112	49112	Scaffold
